profit_per_user,multi_func_profit_cost,multi_func_worst_profit_cost,multi_func_min_cost_cost,multi_func_max_users_cost,single_func_cost,random_deploy_cost,multi_func_profit_profit,multi_func_worst_profit_profit,multi_func_min_cost_profit,multi_func_max_users_profit,single_func_profit,random_deploy_profit,multi_func_profit_users,multi_func_worst_profit_users,multi_func_min_cost_users,multi_func_max_users_users,single_func_users,random_deploy_users
646.66,11256.0,58626.17,11256.0,56196.55,35005.0,31661.57,-9962.68,-53452.89,-9962.68,-51023.27,-32418.36,-29074.93,2.0,8.0,2.0,8.0,4.0,4.0
652.96,29099.2,110550.33,29099.2,96999.66,59172.37,54685.11,-26487.36,-103367.77,-26487.36,-89817.1,-55907.57,-51420.31,4.0,11.0,4.0,11.0,5.0,5.0
654.01,7903.13,29026.4,7903.13,29026.4,15806.26,15806.26,-7249.12,-26410.36,-7249.12,-26410.36,-14498.24,-14498.24,1.0,4.0,1.0,4.0,2.0,2.0
657.88,7151.2,43217.84,7151.2,39293.89,35360.05,32602.68,-4519.68,-35981.16,-4519.68,-32057.21,-29439.13,-26023.88,4.0,11.0,4.0,11.0,9.0,10.0
659.77,62552.0,344242.73,62552.0,341215.7,344242.73,344242.73,-61892.23,-340943.88,-61892.23,-337916.85,-340943.88,-340943.88,1.0,5.0,1.0,5.0,5.0,5.0
661.27,12971.18,14843.15,12971.18,13953.97,14843.15,14843.15,-12309.91,-14181.88,-12309.91,-13292.7,-14181.88,-14181.88,1.0,1.0,1.0,1.0,1.0,1.0
662.11,97042.0,208612.69,97042.0,208612.69,104306.35,208612.69,-96379.89,-207288.47,-96379.89,-207288.47,-103644.24,-207288.47,1.0,2.0,1.0,2.0,1.0,2.0
667.98,53151.76,57163.75,53151.76,54703.06,57163.75,54764.69,-52483.78,-56495.77,-52483.78,-54035.08,-56495.77,-54096.71,1.0,1.0,1.0,1.0,1.0,1.0
668.32,26842.4,59236.96,26842.4,59236.96,44427.72,59236.96,-25505.76,-56563.68,-25505.76,-56563.68,-42422.76,-56563.68,2.0,4.0,2.0,4.0,3.0,4.0
669.84,27291.9,128502.12,27291.9,128502.12,47751.89,39581.76,-24612.54,-112425.96,-24612.54,-112425.96,-44402.69,-36232.56,4.0,24.0,4.0,24.0,5.0,5.0
672.18,13280.4,44874.75,13280.4,43318.55,31971.98,36868.55,-11936.04,-40841.67,-11936.04,-39285.47,-29283.26,-33507.65,2.0,6.0,2.0,6.0,4.0,5.0
672.28,115599.71,253547.41,115599.71,253547.41,126773.71,126773.71,-114927.43,-252202.85,-114927.43,-252202.85,-126101.43,-126101.43,1.0,2.0,1.0,2.0,1.0,1.0
678.77,32032.0,154482.87,32032.0,154482.87,115862.15,115862.15,-31353.23,-151767.79,-31353.23,-151767.79,-113825.84,-113825.84,1.0,4.0,1.0,4.0,3.0,3.0
679.05,5369.0,28259.43,5369.0,28259.43,18839.62,16082.65,-4689.95,-26222.28,-4689.95,-26222.28,-17481.52,-14724.55,1.0,3.0,1.0,3.0,2.0,2.0
679.12,82523.39,90110.84,82523.39,87413.81,90110.84,90110.84,-81844.27,-89431.72,-81844.27,-86734.69,-89431.72,-89431.72,1.0,1.0,1.0,1.0,1.0,1.0
681.47,17486.0,19906.86,17486.0,17486.0,19906.86,19906.86,-16804.53,-19225.39,-16804.53,-16804.53,-19225.39,-19225.39,1.0,1.0,1.0,1.0,1.0,1.0
684.39,4515.0,17411.09,4515.0,17411.09,17411.09,17411.09,-3830.61,-15357.92,-3830.61,-15357.92,-15357.92,-15357.92,1.0,3.0,1.0,3.0,3.0,3.0
686.67,11936.6,67037.62,11936.6,52756.54,50278.21,67037.62,-11249.93,-64290.94,-11249.93,-50009.86,-48218.2,-64290.94,1.0,4.0,1.0,4.0,3.0,4.0
687.44,15677.88,92080.8,15677.88,92080.8,24466.26,24466.26,-13615.56,-72832.48,-13615.56,-72832.48,-21716.5,-21716.5,3.0,28.0,3.0,28.0,4.0,4.0
689.45,4003.49,42806.4,4003.49,42806.4,4436.68,4436.68,-3314.04,-33154.1,-3314.04,-33154.1,-3747.23,-3747.23,1.0,14.0,1.0,14.0,1.0,1.0
704.07,15897.82,20859.25,15897.82,20859.25,20859.25,20859.25,-15193.75,-20155.18,-15193.75,-20155.18,-20155.18,-20155.18,1.0,1.0,1.0,1.0,1.0,1.0
706.76,82358.9,194822.56,82358.9,179804.96,97411.28,97411.28,-81652.14,-193409.04,-81652.14,-178391.44,-96704.52,-96704.52,1.0,2.0,1.0,2.0,1.0,1.0
708.11,19145.08,42943.72,19145.08,42943.72,20368.97,19145.08,-17728.86,-39403.17,-17728.86,-39403.17,-18952.75,-17728.86,2.0,5.0,2.0,5.0,2.0,2.0
710.21,6448.4,43313.4,6448.4,43313.4,10287.35,7401.28,-5738.19,-36921.51,-5738.19,-36921.51,-9577.14,-6691.07,1.0,9.0,1.0,9.0,1.0,1.0
713.73,34805.37,84553.72,34805.37,84553.72,41575.2,44463.75,-31236.72,-74561.5,-31236.72,-74561.5,-38006.55,-40181.37,5.0,14.0,5.0,14.0,5.0,6.0
717.74,20020.0,21119.31,20020.0,21119.31,21119.31,21119.31,-19302.26,-20401.57,-19302.26,-20401.57,-20401.57,-20401.57,1.0,1.0,1.0,1.0,1.0,1.0
718.43,48258.0,53254.02,48258.0,50667.67,53254.02,53254.02,-47539.57,-52535.59,-47539.57,-49949.24,-52535.59,-52535.59,1.0,1.0,1.0,1.0,1.0,1.0
722.83,23243.25,24532.87,23243.25,23390.9,24532.87,24532.87,-22520.42,-23810.04,-22520.42,-22668.07,-23810.04,-23810.04,1.0,1.0,1.0,1.0,1.0,1.0
729.81,12420.2,38593.85,12420.2,38593.85,15203.4,15203.4,-11690.39,-36404.42,-11690.39,-36404.42,-14473.59,-14473.59,1.0,3.0,1.0,3.0,1.0,1.0
734.62,34536.58,45762.29,34536.58,38710.85,45762.29,45762.29,-33801.96,-45027.67,-33801.96,-37976.23,-45027.67,-45027.67,1.0,1.0,1.0,1.0,1.0,1.0
736.34,16786.0,36080.1,16786.0,35272.38,36080.1,36080.1,-16049.66,-34607.42,-16049.66,-33799.7,-34607.42,-34607.42,1.0,2.0,1.0,2.0,2.0,2.0
740.99,35014.0,145552.39,35014.0,145552.39,109164.29,72776.19,-34273.01,-142588.43,-34273.01,-142588.43,-106941.32,-71294.21,1.0,4.0,1.0,4.0,3.0,2.0
743.49,11957.82,104153.4,11957.82,104153.4,11957.82,81008.2,-11214.33,-97461.99,-11214.33,-97461.99,-11214.33,-75803.77,1.0,9.0,1.0,9.0,1.0,7.0
746.71,4446.06,16485.53,4446.06,13101.71,8517.89,7501.49,-3699.35,-13498.69,-3699.35,-10114.87,-7771.18,-6754.78,1.0,4.0,1.0,4.0,1.0,1.0
750.58,19072.2,47840.09,19072.2,47840.09,39866.74,47840.09,-16820.46,-43336.61,-16820.46,-43336.61,-36113.84,-43336.61,3.0,6.0,3.0,6.0,5.0,6.0
753.65,2888.2,44211.15,2888.2,40507.08,36842.62,29293.57,-2134.55,-39689.25,-2134.55,-34477.88,-33074.37,-25525.32,1.0,6.0,1.0,8.0,5.0,5.0
754.82,57722.0,235986.89,57722.0,235986.89,126787.93,186357.72,-56967.18,-232967.61,-56967.18,-232967.61,-125278.29,-184093.26,1.0,4.0,1.0,4.0,2.0,3.0
755.6,177445.66,189224.27,177445.66,187701.09,189224.27,187701.09,-176690.06,-188468.67,-176690.06,-186945.49,-188468.67,-186945.49,1.0,1.0,1.0,1.0,1.0,1.0
756.49,7120.58,36491.0,7120.58,36491.0,7120.58,36491.0,-5607.6,-26656.63,-5607.6,-26656.63,-5607.6,-26656.63,2.0,13.0,2.0,13.0,2.0,13.0
765.76,8194.58,116383.03,8194.58,116383.03,18630.57,18630.57,-7428.82,-104130.87,-7428.82,-104130.87,-17099.05,-17099.05,1.0,16.0,1.0,16.0,2.0,2.0
773.25,23765.0,57162.26,23765.0,57162.26,33039.35,28518.0,-19898.75,-48656.51,-19898.75,-48656.51,-29173.1,-23878.5,5.0,11.0,5.0,11.0,5.0,6.0
773.98,10574.2,55789.96,10574.2,55789.96,41842.47,55789.96,-9800.22,-52694.04,-9800.22,-52694.04,-39520.53,-52694.04,1.0,4.0,1.0,4.0,3.0,4.0
777.75,24035.2,72663.58,24035.2,72663.58,65397.22,58130.86,-20924.2,-64886.08,-20924.2,-64886.08,-58397.47,-51908.86,4.0,10.0,4.0,10.0,9.0,8.0
778.73,296219.71,300911.41,296219.71,296219.71,300911.41,300911.41,-295440.98,-300132.68,-295440.98,-295440.98,-300132.68,-300132.68,1.0,1.0,1.0,1.0,1.0,1.0
785.23,10511.8,34299.62,10511.8,34299.62,15147.51,12898.25,-9726.57,-31943.93,-9726.57,-31943.93,-14362.28,-12113.02,1.0,3.0,1.0,3.0,1.0,1.0
785.75,29546.4,63529.55,28765.0,63529.55,33404.45,33404.45,-24831.9,-54100.55,-24836.25,-54100.55,-29475.7,-29475.7,6.0,12.0,5.0,12.0,5.0,5.0
786.73,91520.0,97067.81,91520.0,95743.2,97067.81,95743.2,-90733.27,-96281.08,-90733.27,-94956.47,-96281.08,-94956.47,1.0,1.0,1.0,1.0,1.0,1.0
788.46,20748.0,47719.17,20748.0,47719.17,39097.17,34948.4,-18382.62,-42988.41,-18382.62,-42988.41,-35943.33,-31794.56,3.0,6.0,3.0,6.0,4.0,4.0
789.65,51899.35,126868.84,51899.35,126868.84,63434.42,58818.41,-51109.7,-125289.54,-51109.7,-125289.54,-62644.77,-58028.76,1.0,2.0,1.0,2.0,1.0,1.0
