test_data_id,multi_func_profit_info,multi_func_time,compute_first_info,compute_first_time,memory_first_info,memory_first_time,single_func_info,single_func_time,random_deploy_info,random_deploy_time
46,"[378.34, 1593.66, 4, [(0, 9), (1, 9), (2, 11), (3, 8), (4, 7)]]",2.1753,"[96.14, 396.86, 1, [(0, 11), (1, 8), (2, 11), (3, 8), (4, 11)]]",0.001,"[192.29, 793.71, 2.0, [(0, 9), (1, 7), (2, 9), (3, 10), (4, 7)]]",0.001,"[89.0, 404.0, 1, [(0, 7), (1, 7), (2, 7), (3, 7), (4, 7)]]",0.0,"[96.14, 396.86, 1, [(0, 7), (1, 12), (2, 6), (3, 12), (4, 2)]]",0.0
47,"[136.92, 1165.08, 3, [(0, 1), (1, 2)]]",0.0,"[136.92, 1165.08, 3, [(0, 3), (1, 5)]]",0.0,"[45.64, 388.36, 1.0, [(0, 5), (1, 2)]]",0.0,"[42.94, 391.06, 1, [(0, 1), (1, 1)]]",0.0,"[42.94, 391.06, 1, [(0, 4), (1, 4)]]",0.0
48,"[312.54, 692.46, 3, [(0, 4), (1, 5), (2, 6), (3, 7)]]",0.0135,None,0.0,"[104.18, 230.82, 1.0, [(0, 5), (1, 2), (2, 5), (3, 6)]]",0.0,"[90.34, 244.66, 1, [(0, 2), (1, 2), (2, 2), (3, 2)]]",0.0,"[104.18, 230.82, 1, [(0, 2), (1, 6), (2, 4), (3, 6)]]",0.0
49,"[253.14, 2217.86, 7, [(0, 10), (1, 10), (2, 2)]]",0.0155,"[185.41, 1579.59, 5, [(0, 2), (1, 4), (2, 2)]]",0.001,"[185.41, 1579.59, 5, [(0, 10), (1, 2), (2, 10)]]",0.001,"[104.23, 954.77, 3, [(0, 2), (1, 2), (2, 2)]]",0.0,"[37.08, 315.92, 1, [(0, 8), (1, 2), (2, 3)]]",0.0
50,"[531.53, 650.47, 3, [(0, 5), (1, 5), (2, 1), (3, 7), (4, 6)]]",0.1728,"[179.63, 214.37, 1, [(0, 6), (1, 5), (2, 6), (3, 5), (4, 6)]]",0.0,None,0.0,"[167.73, 226.27, 1, [(0, 6), (1, 6), (2, 6), (3, 6), (4, 6)]]",0.0,"[179.63, 214.37, 1, [(0, 2), (1, 7), (2, 2), (3, 3), (4, 4)]]",0.0
51,"[575.42, 3228.58, 12, [(0, 5), (1, 6), (2, 4)]]",0.002,"[335.66, 1883.34, 7, [(0, 4), (1, 3), (2, 4)]]",0.0,"[335.66, 1883.34, 7, [(0, 4), (1, 3), (2, 4)]]",0.0,"[46.91, 270.09, 1, [(0, 2), (1, 2), (2, 2)]]",0.0,"[187.65, 1080.35, 4, [(0, 6), (1, 6), (2, 6)]]",0.0
52,"[284.74, 2289.26, 6, [(0, 1), (1, 3), (2, 3), (3, 2)]]",0.3196,"[144.77, 1142.23, 3, [(0, 2), (1, 9), (2, 2), (3, 9)]]",0.0,"[48.26, 380.74, 1.0, [(0, 6), (1, 2), (2, 6), (3, 2)]]",0.0,"[45.92, 383.08, 1, [(0, 1), (1, 1), (2, 1), (3, 1)]]",0.0,"[47.4, 381.6, 1, [(0, 2), (1, 2), (2, 4), (3, 2)]]",0.0
53,"[191.2, 752.8, 2, [(0, 1), (1, 2), (2, 6), (3, 6)]]",0.0125,None,0.0014,None,0.001,"[92.28, 379.72, 1, [(0, 6), (1, 6), (2, 6), (3, 6)]]",0.0,"[97.44, 374.56, 1, [(0, 6), (1, 2), (2, 2), (3, 4)]]",0.0
54,"[444.0, 3714.0, 9, [(0, 3), (1, 3), (2, 2)]]",0.015,"[302.24, 2469.76, 6, [(0, 6), (1, 3), (2, 6)]]",0.0,None,0.0,"[96.15, 827.85, 2, [(0, 1), (1, 1), (2, 1)]]",0.0,"[151.12, 1234.88, 3, [(0, 3), (1, 1), (2, 8)]]",0.0
55,"[302.06, 193.94, 2, [(0, 5), (1, 5), (2, 5), (3, 4), (4, 4)]]",0.0857,"[316.4, 179.6, 2, [(0, 5), (1, 6), (2, 5), (3, 6), (4, 5)]]",0.0,"[316.4, 179.6, 2, [(0, 5), (1, 4), (2, 5), (3, 6), (4, 5)]]",0.0,"[148.99, 99.01, 1.0, [(0, 4), (1, 4), (2, 4), (3, 4), (4, 4)]]",0.0,"[155.68, 92.32, 1, [(0, 3), (1, 3), (2, 2), (3, 5), (4, 2)]]",0.0
56,"[324.47, 2167.53, 7, [(0, 2), (1, 1)]]",0.0,"[139.06, 928.94, 3, [(0, 4), (1, 3)]]",0.0,"[324.47, 2167.53, 7, [(0, 2), (1, 1)]]",0.0,"[130.45, 937.55, 3, [(0, 1), (1, 1)]]",0.0,"[173.93, 1250.07, 4, [(0, 2), (1, 2)]]",0.0
57,"[57.29, 748.71, 2, [(0, 1), (1, 1)]]",0.0,"[60.41, 745.59, 2, [(0, 1), (1, 2)]]",0.0,"[60.41, 745.59, 2, [(0, 1), (1, 2)]]",0.0,"[57.29, 748.71, 2, [(0, 1), (1, 1)]]",0.0,"[28.64, 374.36, 1, [(0, 2), (1, 2)]]",0.0
